depth,heuristic,found,solution_cost,nodes_expanded,nodes_generated,runtime_seconds,effective_branching_factor
2,h3,True,2,2,5,2.8416980057954788e-05,1.5615528128088303
2,h3,True,2,2,7,3.545801155269146e-05,2.0
2,h3,True,2,2,5,2.5791814550757408e-05,1.5615528128088303
2,h3,True,2,2,7,3.5082921385765076e-05,2.0
2,h3,True,2,2,7,3.52498609572649e-05,2.0
2,h3,True,2,2,7,3.533391281962395e-05,2.0
2,h3,True,2,2,7,3.7624966353178024e-05,2.0
2,h3,True,2,2,5,2.5499844923615456e-05,1.5615528128088303
2,h3,True,2,2,7,3.566686064004898e-05,2.0
2,h3,True,2,2,5,2.554222010076046e-05,1.5615528128088303
2,h3,True,2,2,5,2.554105594754219e-05,1.5615528128088303
2,h3,True,2,2,5,2.545793540775776e-05,1.5615528128088303
2,h3,True,2,2,5,2.8165988624095917e-05,1.5615528128088303
2,h3,True,2,2,7,3.533298149704933e-05,2.0
2,h3,True,2,2,7,3.8125086575746536e-05,2.0
2,h3,True,2,2,7,3.504101186990738e-05,2.0
2,h3,True,2,2,5,2.5792047381401062e-05,1.5615528128088303
2,h3,True,2,2,5,2.566608600318432e-05,1.5615528128088303
2,h3,True,2,2,7,3.5250093787908554e-05,2.0
2,h3,True,2,2,7,3.516697324812412e-05,2.0
2,h3,True,2,2,7,3.6582816392183304e-05,2.0
2,h3,True,2,2,7,3.583403304219246e-05,2.0
2,h3,True,2,2,5,2.6124995201826096e-05,1.5615528128088303
2,h3,True,2,2,5,3.179209306836128e-05,1.5615528128088303
2,h3,True,2,2,5,2.9667047783732414e-05,1.5615528128088303
2,h3,True,2,2,5,2.5792047381401062e-05,1.5615528128088303
2,h3,True,2,2,7,4.4791027903556824e-05,2.0
2,h3,True,2,2,7,3.6084093153476715e-05,2.0
2,h3,True,2,2,7,4.3665990233421326e-05,2.0
2,h3,True,2,2,7,3.487500362098217e-05,2.0
2,h3,True,2,2,5,2.5417190045118332e-05,1.5615528128088303
2,h3,True,2,2,7,4.295795224606991e-05,2.0
2,h3,True,2,2,5,2.5499844923615456e-05,1.5615528128088303
2,h3,True,2,2,5,2.6875175535678864e-05,1.5615528128088303
2,h3,True,2,2,7,3.5624951124191284e-05,2.0
2,h3,True,2,2,5,2.5792047381401062e-05,1.5615528128088303
2,h3,True,2,2,7,4.0790997445583344e-05,2.0
2,h3,True,2,2,5,2.5374814867973328e-05,1.5615528128088303
2,h3,True,2,2,5,2.53340695053339e-05,1.5615528128088303
2,h3,True,2,2,5,2.595805563032627e-05,1.5615528128088303
2,h3,True,2,2,7,3.533298149704933e-05,2.0
2,h3,True,2,2,5,2.5792047381401062e-05,1.5615528128088303
2,h3,True,2,2,5,2.5583896785974503e-05,1.5615528128088303
2,h3,True,2,2,7,3.591715358197689e-05,2.0
2,h3,True,2,2,7,3.53341456502676e-05,2.0
2,h3,True,2,2,7,3.5167206078767776e-05,2.0
2,h3,True,2,2,7,3.5125063732266426e-05,2.0
2,h3,True,2,2,5,2.537504769861698e-05,1.5615528128088303
2,h3,True,2,2,5,2.554222010076046e-05,1.5615528128088303
2,h3,True,2,2,5,2.8207898139953613e-05,1.5615528128088303
2,h3,True,2,2,5,2.5916844606399536e-05,1.5615528128088303
2,h3,True,2,2,5,2.5958986952900887e-05,1.5615528128088303
2,h3,True,2,2,7,3.6499928683042526e-05,2.0
2,h3,True,2,2,7,3.587501123547554e-05,2.0
2,h3,True,2,2,7,3.504101186990738e-05,2.0
2,h3,True,2,2,5,2.49580480158329e-05,1.5615528128088303
2,h3,True,2,2,7,3.474997356534004e-05,2.0
2,h3,True,2,2,5,2.8209062293171883e-05,1.5615528128088303
2,h3,True,2,2,5,2.49580480158329e-05,1.5615528128088303
2,h3,True,2,2,5,2.5165965780615807e-05,1.5615528128088303
2,h3,True,2,2,7,3.4624943509697914e-05,2.0
2,h3,True,2,2,7,3.4833094105124474e-05,2.0
2,h3,True,2,2,5,2.5124987587332726e-05,1.5615528128088303
4,h1,True,4,5,12,1.416611485183239e-05,1.4490336568196809
4,h1,True,4,4,10,1.1292053386569023e-05,1.3523950218323741
4,h1,True,4,4,10,1.0916031897068024e-05,1.3523950218323741
4,h1,True,4,4,8,9.041978046298027e-06,1.2369101206660766
4,h1,True,4,4,10,1.0333023965358734e-05,1.3523950218323741
4,h1,True,4,4,10,1.116609200835228e-05,1.3523950218323741
4,h1,True,4,4,10,1.0708114132285118e-05,1.3523950218323741
4,h1,True,4,4,8,8.833128958940506e-06,1.2369101206660766
4,h1,True,4,4,10,1.0833144187927246e-05,1.3523950218323741
4,h1,True,4,4,10,1.0458985343575478e-05,1.3523950218323741
4,h1,True,4,4,10,1.037493348121643e-05,1.3523950218323741
4,h1,True,4,5,12,1.3124896213412285e-05,1.4490336568196809
4,h1,True,4,4,10,1.0458054021000862e-05,1.3523950218323741
4,h1,True,4,4,10,1.0458054021000862e-05,1.3523950218323741
4,h1,True,4,4,10,1.0084128007292747e-05,1.3523950218323741
4,h1,True,4,4,8,9.74978320300579e-06,1.2369101206660766
4,h1,True,4,4,10,1.0333023965358734e-05,1.3523950218323741
4,h1,True,4,4,10,1.0250136256217957e-05,1.3523950218323741
4,h1,True,4,4,10,1.0458054021000862e-05,1.3523950218323741
4,h1,True,4,4,10,1.037493348121643e-05,1.3523950218323741
4,h1,True,4,4,10,1.0499963536858559e-05,1.3523950218323741
4,h1,True,4,4,8,8.750008419156075e-06,1.2369101206660766
4,h1,True,4,5,12,1.2874836102128029e-05,1.4490336568196809
4,h1,True,4,4,8,8.832896128296852e-06,1.2369101206660766
4,h1,True,4,4,10,1.0249903425574303e-05,1.3523950218323741
4,h1,True,4,4,10,1.0584015399217606e-05,1.3523950218323741
4,h1,True,4,4,10,1.0582851245999336e-05,1.3523950218323741
4,h1,True,4,4,10,1.0458054021000862e-05,1.3523950218323741
4,h1,True,4,4,10,1.0291812941432e-05,1.3523950218323741
4,h1,True,4,4,10,1.016608439385891e-05,1.3523950218323741
4,h1,True,4,4,10,1.095794141292572e-05,1.3523950218323741
4,h1,True,4,4,10,1.0333023965358734e-05,1.3523950218323741
4,h1,True,4,4,8,8.708098903298378e-06,1.2369101206660766
4,h1,True,4,4,10,1.0290881618857384e-05,1.3523950218323741
4,h1,True,4,4,10,1.0207993909716606e-05,1.3523950218323741
4,h1,True,4,4,10,1.0416842997074127e-05,1.3523950218323741
4,h1,True,4,4,10,1.0292045772075653e-05,1.3523950218323741
4,h1,True,4,4,10,1.033279113471508e-05,1.3523950218323741
4,h1,True,4,4,8,8.624978363513947e-06,1.2369101206660766
4,h1,True,4,4,10,1.0209158062934875e-05,1.3523950218323741
4,h1,True,4,4,10,1.0291812941432e-05,1.3523950218323741
4,h1,True,4,4,10,1.0250136256217957e-05,1.3523950218323741
4,h1,True,4,4,10,1.0208925232291222e-05,1.3523950218323741
4,h1,True,4,4,8,8.708098903298378e-06,1.2369101206660766
4,h1,True,4,4,10,1.0125106200575829e-05,1.3523950218323741
4,h1,True,4,4,10,1.0333023965358734e-05,1.3523950218323741
4,h1,True,4,4,10,1.0333023965358734e-05,1.3523950218323741
4,h1,True,4,4,10,1.033395528793335e-05,1.3523950218323741
4,h1,True,4,4,10,1.0207993909716606e-05,1.3523950218323741
4,h1,True,4,4,10,1.0124873369932175e-05,1.3523950218323741
4,h1,True,4,4,10,1.0542105883359909e-05,1.3523950218323741
4,h1,True,4,4,10,1.0291812941432e-05,1.3523950218323741
4,h1,True,4,4,10,1.037493348121643e-05,1.3523950218323741
4,h1,True,4,4,10,1.0292045772075653e-05,1.3523950218323741
4,h1,True,4,4,8,8.790986612439156e-06,1.2369101206660766
4,h1,True,4,4,8,8.791917935013771e-06,1.2369101206660766
4,h1,True,4,4,8,8.750008419156075e-06,1.2369101206660766
4,h1,True,4,4,10,1.0249903425574303e-05,1.3523950218323741
4,h1,True,4,4,10,1.0333023965358734e-05,1.3523950218323741
4,h1,True,4,4,10,1.0167015716433525e-05,1.3523950218323741
4,h1,True,4,4,10,1.0083895176649094e-05,1.3523950218323741
4,h1,True,4,4,10,1.0167015716433525e-05,1.3523950218323741
4,h1,True,4,4,10,1.033279113471508e-05,1.3523950218323741
4,h1,True,4,4,8,8.624978363513947e-06,1.2369101206660766
4,h1,True,4,4,10,1.0250136256217957e-05,1.3523950218323741
4,h1,True,4,4,10,1.037493348121643e-05,1.3523950218323741
4,h1,True,4,4,8,8.624978363513947e-06,1.2369101206660766
4,h1,True,4,4,10,1.0458054021000862e-05,1.3523950218323741
4,h1,True,4,4,10,1.0292045772075653e-05,1.3523950218323741
4,h1,True,4,4,10,1.0124873369932175e-05,1.3523950218323741
4,h1,True,4,4,10,1.0250136256217957e-05,1.3523950218323741
4,h1,True,4,4,10,1.0207993909716606e-05,1.3523950218323741
4,h1,True,4,4,10,1.0208925232291222e-05,1.3523950218323741
